selection1_name,selection1_location,selection1_date,selection1_Category
Friday Illustrated Friends,Mairangi Arts Centre,Fri 5 May 4:30pm,Education
Weekly Drama Classes (Ages 5-16) - Tim Bray Youth Theatre,St Georges Presbyterian Church,Fri 5 May 4:00pm,Education
Auckland Baby Expo May 2023,Eventfinda Stadium,Sat 6 May 9:00am,"Lifestyle Shows, Expos"
White Chapel Jak Endless Summer Tour 2023,Parāoa Brewing Co.,Sat 6 May 7:00pm,"Covers, Tribute Bands"
Grand Finale - King of the Park 5PM Start,Waikaraka Family Speedway,Sat 6 May 5:00pm,Motorsport
International Comedy All-Stars in Manukau,BNZ Theatre at Due Drop Events Centre,Sat 6 May 8:00pm,Comedy
The Classic Comedy Fest Previews - Early & Late Editions,The Classic Comedy Club,Sat 6 May 7:00pm,Comedy
Ep 3 Generational | Professional Wrestling,Oratia Settlers Hall,Sat 6 May 5:45pm,Wrestling
Relief Print | Fatu Feu’u ONZM,Corban Estate Arts Centre,Sat 6 May 1:00pm,Festivals
Junk to Funk,Te Huruhi Primary School,Sat 6 May 6:00pm,Fashion
Screen-printing with Speciality Inks | Thomas Lynch,Corban Estate Arts Centre,Sat 6 May 1:00pm,Festivals
Saturday Night Live,Zion Hill Methodist Hall,Sat 6 May 7:30pm,"Alternative, Indie"
The Shack Live,Woodside Bar,Sat 6 May 7:00pm,Family Entertainment
Marks & Process: Experimental Drawing | Han Kim,Corban Estate Arts Centre,Sat 6 May 9:00am,Festivals
Chuckle Monsters -NZ Comedy Festival,Covert Theatre,Sat 6 May 2:00pm,Theatre
Super Bootcamp,SPARTAFIT,Sat 6 May 8:30am,Fitness
Paint & Chill - Aurora Australis,Auckland City Hotel,Sat 6 May 3:00pm,"Socials, Singles, Balls"
Bamboo Intaglio | Faith McManus,Corban Estate Arts Centre,Sat 6 May 9:00am,Festivals
Kevin Greaves Family Trio,Hibiscus Coast RSA,Sat 6 May 7:00pm,"Covers, Tribute Bands"
Paper Pulp Prints | Brie Rate: CANCELLED,Corban Estate Arts Centre,Sat 6 May 9:00am,Festivals
Changing Lives - Well-being Workshop,Franklin Hospice,Sat 6 May 10:00am,Mind & Body
Art Collective Project with Sewn Textile Artist Dee Petit,Shiloh Creative Life Centre,Sat 6 May 10:00am,Family & Lifestyle
Mudfest 2023,,Sat 6 May 9:00am,"Lifestyle Shows, Expos"
Parnell Saturday Market,Parnell Quarter,Sat 6 May 8:00am,Markets and Fairs
Parnell Farmers' Market,Jubilee Building - Parnell Community Centre,Sat 6 May 8:00am,Markets and Fairs
Blues vs Moana Pasifika,Eden Park,Sat 6 May 7:05pm,Rugby Union
Elim Car Boot Sale,Elim Christian Centre,Sat 6 May 8:00am,Markets and Fairs
"Collectors Fair - Victorian, Vintage, Retro & more",Avondale Racecourse,Sat 6 May 12:00pm,Markets and Fairs
Noises Off,Off Broadway Theatre,Sat 6 May 7:30pm,Theatre
J Day 2023 - NZ's 31st Annual Cannabis Festival and Protest,Albert Park,Sat 6 May 12:00pm,"Commemorations, Ceremonies"
The Soundtracks from Reservoir Dogs & Pulp Fiction,The Civic,Sat 6 May 8:00pm,Pop
Waiheke Ostend Market,Ostend War Memorial Hall and Reserve,Sat 6 May 8:00am,Markets and Fairs
Papakura Streetfest,Papakura Town Centre,Sat 6 May 10:00am,Family Entertainment
An Afrikan Market | Africa Month 2023,Ellen Melville Centre,Sat 6 May 12:00pm,"Ethnic, Multicultural"
Auckland Choral presents Lux Aeterna/Beethoven,Holy Trinity Cathedral,Sat 6 May 7:30pm,Classical Music
Ruel,Auckland Town Hall - Great Hall,Sat 6 May 7:30pm,Pop
Re:generate Fashion Market Te Atatū Peninsula,Te Atatu Peninsula Community Centre,Sat 6 May 10:00am,Markets and Fairs
Ed Gamble - Electric,SkyCity Theatre,Sat 6 May 9:00pm,Comedy
A Live Tribute to Prince,Ponsonby Social Club,Sat 6 May 7:00pm,"R&B, Soul"
Teddy Bear's Picnic - Auckland Mama Markets,Fickling Convention Centre,Sat 6 May 9:30am,Markets and Fairs
Gently Loved Markets Curvy,Western Springs Hall,Sat 6 May 10:00am,Markets and Fairs
Food Truck Collective Hobsonville Point,Hobsonville Point Park,Sat 6 May 5:00pm,Markets and Fairs
Brave Charity Fashion Show Fundraiser,St Lukes Church,Sat 6 May 6:00pm,"Charity, Fundraisers"
CT Civil Counties Classic Final and Drillforce ProLite Cup,Colin Dale Park,Sat 6 May 11:00am,Motorsport
Auahatanga Market,George Court Building,Sat 6 May 10:00am,Markets and Fairs
The Sprig of Thyme,St Georges Presbyterian Church,Sat 6 May 7:30pm,Folk
Breath Hold Workshop for Spearfishing Surfing and Freediving,Orewa House Health and Wellbeing Centre,Sat 6 May 11:00am,Diving
True Believers,Fitzroy Lounge Bar,Sat 6 May 6:00pm,Bar DJs
APO 4 Kids Move & Groove,Bruce Mason Centre,Sat 6 May 10:00am,Family Entertainment
"Joe Lycett - More, More! How Do You Lycett?",Kiri Te Kanawa Theatre - Aotea Centre,Sat 6 May 8:00pm,Comedy
Beauty Nation,Shed 10,Sat 6 May 9:00am,"Lifestyle Shows, Expos"
Bubble Soccer in the Park,Margaret Griffen Park,Sat 6 May 10:00am,"Games, Carnivals"
"Huge Pop, Rock, Folk, Jazz & Country Vinyl Record Sale",St Anne's Hall,Sat 6 May 9:00am,Markets and Fairs
Easy Tiger,The Occidental Belgian Beer Café,Sat 6 May 10:00pm,"Covers, Tribute Bands"
Repair Cafe Orewa,Orewa Community Centre,Sat 6 May 11:00am,"Conservation, Environment"
Albany Community Market,Albany Community Hub,Sat 6 May 12:00pm,Markets and Fairs
Repair Café Pukekohe,Pukekohe Old Borough Building,Sat 6 May 11:00am,"Conservation, Environment"
Community Talent Quest,Fresh Choice Epsom,Sat 6 May 10:00am,Theatre
Car Boot Sale,Henderson Baptist Church,Sat 6 May 6:30am,Markets and Fairs
Crystal Visions Holistic Market,Milford Senior Citizens Hall,Sat 6 May 10:00am,Markets and Fairs
The History Boys,The Rose Centre,Sat 6 May 8:00pm,Theatre
The Book Club Play – Hit Comedy About People Who Love Books,Howick Little Theatre,Sat 6 May 8:00pm,Theatre
Matakana Village Farmers' Market,Matakana Village Market Square,Sat 6 May 8:00am,Markets and Fairs
Workshop: Art for Bird Lovers,Huia Lodge Discovery Hub,Sat 6 May 10:00am,Family & Lifestyle
Bowls in a Day | Workshop,UXBRIDGE Arts & Culture Centre,Sat 6 May 9:30am,Family & Lifestyle
Pounamu Carving | Workshop,UXBRIDGE Arts & Culture Centre,Sat 6 May 9:00am,"Ethnic, Multicultural"
Kraft Korner | Africa Month 2023,Ellen Melville Centre,Sat 6 May 1:00pm,"Ethnic, Multicultural"
CCFA Friends in the Gallery,New Zealand Maritime Museum,Sat 6 May 1:00pm,Public Talks & Tours
Create an Extravagant Wearable Art Piece,Selwyn College,Sat 6 May 10:00am,Family & Lifestyle
Core Empowerment - Journey of the Soul,Taitamariki Hall (Girl Guides Hall),Sat 6 May 9:30am,Mind & Body
Saturday Storytelling in the Art Room,Mairangi Arts Centre,Sat 6 May 10:00am,Education
Saturday Afternoons Creative Clay,Mairangi Arts Centre,Sat 6 May 12:00pm,Education
Saturday Mornings 3D Art,Mairangi Arts Centre,Sat 6 May 10:00am,Education
Saturday Drawing & Watercolours,Mairangi Arts Centre,Sat 6 May 2:00pm,Education
Saturday Drawing,Mairangi Arts Centre,Sat 6 May 10:00am,Education
Eco Printing | Erinna Law,Corban Estate Arts Centre,Sun 7 May 9:00am,Festivals
ACVC: Volleyball Training for Kids & Teens - Beginner/Interm,Epsom Girls Grammar School,Sun 7 May 12:45pm,Volleyball
Argentine Tango 6-Week Basic & Improvers Course,All Saints Anglican Church,Sun 7 May 7:00pm,Dance
Reduction Relief Printing | Kheang Ov,Corban Estate Arts Centre,Sun 7 May 9:00am,Festivals
Intro to Drypoint on a 3D Printed Press | Kyla Cresswell,Corban Estate Arts Centre,Sun 7 May 9:00am,Festivals
Digital Image Processing for Printmakers | Steve Lovett,Corban Estate Arts Centre,Sun 7 May 9:00am,Festivals
Impact Pro Wrestling - Sunday Session,Parāoa Brewing Co.,Sun 7 May 1:00pm,Wrestling
Coastal Assault 2023,Parāoa Brewing Co.,Sun 7 May 1:00pm,Wrestling
South Auckland Choral Choir - 'Show-Stoppers' Concert,Crossroads Methodist Church,Sun 7 May 2:30pm,"Choir, Vocal Music"
Contemporary Colour workshop,Kumeu Arts Centre,Sun 7 May 10:00am,Education
International Comedy All-Stars at The Churchill,The Churchill,Sun 7 May 6:30pm,Comedy
Coatesville Market,Coatesville Settlers Hall,Sun 7 May 10:00am,Markets and Fairs
He Rā Rākau Tītapu – King Charles III Coronation Plantings,Auckland Domain,Sun 7 May 1:00pm,Family Entertainment
Matt Joe Gow & Kerryn Fields - Your Heart of Gold,"The Arts House Trust, Pah Homestead",Sun 7 May 5:00pm,Country
Wings for Life World Run,Westhaven Marina,Sun 7 May 11:00pm,"Marathon, Running"
No Conformity,Big Fan,Sun 7 May 6:00pm,Rock
5 Wheel Drive,Huapai Tavern,Sun 7 May 3:00pm,Rock
Harbour Voices Presents: the Creation By Joseph Haydn,St Georges Presbyterian Church,Sun 7 May 2:30pm,World
Barfoot & Thompson People's Tri - Race 4 Mission Bay,Mission Bay Beach,Sun 7 May 8:00am,Triathlon
Free Bubble Soccer in the Park - Allenby Park,Allenby Park,Sun 7 May 10:00am,"Games, Carnivals"
Gin School,d:STIL Project,Sun 7 May 11:00am,"Food, Gourmet, Wine"
Swanson Station Market,Swanson Railway Station,Sun 7 May 7:00am,Markets and Fairs
Pollok Hall Market,Pollok Hall,Sun 7 May 9:00am,Markets and Fairs
The Fitz Quiz Night,Fitzroy Lounge Bar,Sun 7 May 6:00pm,"Quiz, Karaoke"
Guided Walk: Trees as Bird Habitats,Huia Lodge Discovery Hub,Sun 7 May 10:00am,Public Talks & Tours
Conference: New Horizons In Prostate Cancer Care,Grand Millennium Hotel,Sun 7 May 8:00am,Education
Make Days At the Maritime,New Zealand Maritime Museum,Sun 7 May 10:00am,Family & Lifestyle
Candle Making Workshop,Karaka Learning Centre,Sun 7 May 9:30am,Education
Service Foods' Trade Shows 2023,Sir Noel Robinson Conference Centre,Mon 8 May 1:00pm,"Food, Gourmet, Wine"
The Big Bike Film Night - Devonport,The Vic Theatre Devonport,Mon 8 May 7:30pm,Cycling
Auckland Film Society – Will Success Spoil Rock Hunter?,Academy Cinemas,Mon 8 May 6:15pm,Film
Auckland Live Morning Melodies 2023,Bruce Mason Centre,Mon 8 May 11:00am,Variety Concerts
CAP Money Course,Mt Albert Baptist Church,Mon 8 May 7:00pm,Education
The Worm,BNZ Theatre at Due Drop Events Centre,Tue 9 May 6:30pm,Musicals
Justine Smith (NZ) in 'Actually I'm A Cat Person',The Classic Comedy Club,Tue 9 May 8:30pm,Comedy
Ray Bradshaw (Scotland) in 'Deaf Comedy Fam',The Classic Comedy Club,Tue 9 May 7:00pm,Comedy
Laura Davis (Aust) in 'Well Don't Just Stand There Dancing',The Classic Comedy Club - Studio,Tue 9 May 8:45pm,Comedy
Fitz Of Laughter- Fitzroy Comedy Showcase,Fitzroy Lounge Bar,Tue 9 May 7:45pm,Comedy
Markus Birdman (England) In His Highly Acclaimed New Show,The Classic Comedy Club - Studio,Tue 9 May 7:15pm,Comedy
Triangle of Sadness,Hawkins Theatre,Tue 9 May 7:30pm,Film
Eye Institute May Seminar 2023,Hyundai Marine Sports Centre,Tue 9 May 5:30pm,Business & Professional
"""Hi, I am Atheist"" - Roleplay Workshop On Faith/Belief",Catholic Theological College - Te Kupenga,Tue 9 May 7:00pm,Education
Wu-Tang Clan & Nas | NY State of Mind Tour,Spark Arena,Tue 9 May 7:00pm,"Hip Hop, Rap"
Don Mclean - The Day The Music Died Tour,Auckland Town Hall - Great Hall,Tue 9 May 7:00pm,Classic Rock
German Short Film Night - Auckland,The Kingslander,Tue 9 May 7:00pm,Film
Eve Kelly,Pt Chevalier RSA,Tue 9 May 7:30pm,Jazz
Hayley Sproull in Ailments,Q Theatre,Tue 9 May 6:30pm,Comedy
The Big Show 2023,Q Theatre,Tue 9 May 8:30pm,Comedy
David Correos Topsy Turvey | Auckland,Basement Theatre,Tue 9 May 8:00pm,Comedy
The Birdcage Tavern Quiz Night,The Birdcage,Tue 9 May 6:30pm,"Quiz, Karaoke"
Bioengineering the Future,The Cloud,Tue 9 May 10:00am,Mind & Body
Book-A-Family History Librarian,Waitakere Central Library,Tue 9 May 9:00am,Education
BiG Wednesday - Late & Live Comedyfest Edition,The Classic Comedy Club,Wed 10 May 10:00pm,Comedy
The Remarkable Case of...,Covert Theatre,Wed 10 May 8:30pm,Theatre
Improv Magic,Covert Theatre,Wed 10 May 10:00pm,Theatre
Beam Me Up,Covert Theatre,Wed 10 May 7:00pm,Theatre
Creative Jazz Club: Jamie Pye Quartet (Melbourne/Wellington),Anthology Lounge,Wed 10 May 8:00pm,Jazz
The Comedy Club - Pukekohe,Charleston’s Restaurant & Bar,Wed 10 May 7:30pm,Comedy
Clay Play with Modeletto and The Village,The Village NZ,Wed 10 May 7:00pm,Education
Auckland Glow in the Dark Paint and Wine Party - Moon Shadow,Saturdays Britomart,Wed 10 May 7:00pm,"Food, Gourmet, Wine"
Auckland Paint and Wine Night - Kea,Sweat Shop Brew Kitchen,Wed 10 May 7:00pm,"Food, Gourmet, Wine"
The Art of Bonsai | Workshop,UXBRIDGE Arts & Culture Centre,Wed 10 May 1:00pm,"Conservation, Environment"
Really Good Normal Show | Auckland,Basement Theatre,Wed 10 May 10:00pm,Comedy
Open Mic Night,"On The Rocks, Milford",Wed 10 May 8:00pm,"Open Mic, Jams"
Wednesday Soap Making,Mairangi Arts Centre,Wed 10 May 7:00pm,Education
"Jack Caldwell & Bridget Davies in 'Thinking, Out Loud'",The Classic Comedy Club - Studio,Thu 11 May 10:00pm,Comedy
Book Club: The Next Chapter,Hawkins Theatre,Thu 11 May 7:30pm,Film
PRO NiGHT - Late & Live Comedyfest Edition,The Classic Comedy Club,Thu 11 May 10:00pm,Comedy
Beats By Bingo - Orakei,Brothers Beer & Juke Joint BBQ,Thu 11 May 7:30pm,Bar DJs
Coast Comedy with Jarred Fell,The Beer Spot Whangaparaoa,Thu 11 May 7:30pm,Comedy
West AKL $5 Community Sale,Westgate Shopping Centre,Thu 11 May 10:00am,Markets and Fairs
Late Night at Matakana Estate,Matakana Estate,Thu 11 May 5:00pm,"Food, Gourmet, Wine"
Women's 18 hole Pairs Day,Maramarua Golf Club,Thu 11 May 9:30am,"Golf, Disc Golf"
Ed Curva Live,Ponsonby Social Club,Thu 11 May 7:00pm,World
Melanie Bracewell,Q Theatre,Thu 11 May 7:30pm,Comedy
Ed Byrne - If I'm Honest,SkyCity Theatre,Thu 11 May 8:45pm,Comedy
Romeo & Juliet,Kiri Te Kanawa Theatre - Aotea Centre,Thu 11 May 7:30pm,Ballet
Wynyard Grill Jazz Night ft. Roger Manins Trio,Wynyard Grill,Thu 11 May 7:00pm,Jazz
Soul Vibes Band Live at Grand Central,Grand Central,Thu 11 May 9:30pm,"R&B, Soul"
Oil Pastel Workshop - Still Life Flowers,Brothers Beer,Thu 11 May 7:00pm,Education
Creative Thursdays,Nathan Homestead - Manurewa Arts Centre,Thu 11 May 6:00pm,Business & Professional
Comedy All-Stars: L8 & Live Comedyfest Edition,The Classic Comedy Club,Fri 12 May 10:00pm,Comedy
"Triple Tribute Show - The Cars, The Pretenders, The Cure",Parāoa Brewing Co.,Fri 12 May 8:30pm,"Covers, Tribute Bands"
Matakana Comedy Club with Tarun Mohanbhai,8 Wired Barrel Works,Fri 12 May 7:30pm,Comedy
Paint & Chill - Fantail on Pohutukawa!,Auckland City Hotel,Fri 12 May 6:00pm,"Socials, Singles, Balls"
Women's Stories Matter - Women's Sharing Circle,The Community Rooms 'Bridge Club',Fri 12 May 9:30am,Mind & Body
"Hark, Sweet Music: Handel and Purcell",St Lukes Church,Fri 12 May 7:30pm,Classical Music
Wilkinson Presents Cognition - Auckland,Spark Arena,Fri 12 May 7:30pm,Drum & Bass
Come Together - Neil Young’s Harvest,The Civic,Fri 12 May 8:00pm,Rock
Pink Ribbon Breakfast Hosted By Mp David Seymour,Nottinghill Kitchen,Fri 12 May 7:30am,"Charity, Fundraisers"
Djs Junior & TDK,Ponsonby Social Club,Fri 12 May 9:00pm,"Hip Hop, Rap"
Auckland Paint and Wine Night - Kereru,The Bridgman,Fri 12 May 7:00pm,"Food, Gourmet, Wine"
Soul Shakedown Party Featuring Lucy & the Skylites,Grey Lynn Returned Services Club,Fri 12 May 7:30pm,"Dub, Roots"
Orchid Show - NZ Orchid Society's Special Autumn Show,Western Springs Community Garden,Fri 12 May 10:00am,Markets and Fairs
Sara Pascoe - Success Story,SkyCity Theatre,Fri 12 May 7:00pm,Comedy
CATS: Young Actors Edition,Warkworth Town Hall,Fri 12 May 7:00pm,Musicals
Pat for President,The Occidental Belgian Beer Café,Fri 12 May 10:00pm,"Covers, Tribute Bands"
The Royal Family presents THE VHS TAPES,BNZ Theatre at Due Drop Events Centre,Sat 13 May 7:00pm,Dance
Impact Pro Wrestling: IPW XX!,Mt Eden War Memorial Hall,Sat 13 May 7:00pm,Wrestling
Afrolust,TingTing,Sat 13 May 11:00pm,Bar DJs
ACVC Summer Series: Beach Volleyball,Mission Bay Beach,Sat 13 May 8:00am,Volleyball
Greg Churchill Ink 1000 - Six-hour Set,Ink Bar,Sat 13 May 10:00pm,Bar DJs
Hospice Charity Shop Crawl,Totara Hospice South Auckland,Sat 13 May 9:00am,"Charity, Fundraisers"
Auckland Tuatara v Hawke's Bay Hawks,Eventfinda Stadium,Sat 13 May 7:00pm,Basketball
Songs For Our Mothers,North Harbour Stadium,Sat 13 May 7:30pm,Variety Concerts
The People,Parāoa Brewing Co.,Sat 13 May 9:00pm,"Covers, Tribute Bands"
Paint & Chill - Wild Flowers!,Auckland City Hotel,Sat 13 May 3:00pm,"Socials, Singles, Balls"
Crystal Visions Holistic Market,Orewa Community Centre,Sat 13 May 10:00am,Markets and Fairs
Food Truck Collective Narrowneck,Woodall Park,Sat 13 May 5:00pm,Markets and Fairs
The Mother's Day Fragrance Experience,Batch Winery,Sat 13 May 11:30am,"Food, Gourmet, Wine"
Becky Lucas | Auckland,Q Theatre,Sat 13 May 7:00pm,Comedy
Contemporary Embroidery | Workshop,UXBRIDGE Arts & Culture Centre,Sat 13 May 10:30am,"Games, Hobbies"
Free Bubble Soccer in the Park - Eastern Beach,Eastern Beach,Sat 13 May 10:00am,"Games, Carnivals"
Eve Kelly,Ponsonby Social Club,Sat 13 May 7:00pm,"Alternative, Indie"
"Urbanaut Club Night - Baby Zionov, Mokotron, Samuel Harmony",Big Fan,Sat 13 May 8:00pm,Electronica
The Bobby Holidays,Tahi Bar Warkworth,Sat 13 May 7:00pm,Classic Rock
Terrazzo Home Decor | Workshop,UXBRIDGE Arts & Culture Centre,Sat 13 May 2:00pm,Markets and Fairs
Dead Favours Album Tour 2023 - Auckland,Galatos,Sat 13 May 8:00pm,Rock
Euphony Ft. Jorn Van Deynhoven (nl) Auckland,The Mothership,Sat 13 May 9:00pm,Bar DJs
Moon,Q Theatre,Sat 13 May 3:00pm,Theatre
The Little Clown that Fell to Earth,Q Theatre,Sat 13 May 4:30pm,Comedy
Carnaval Latino,Freyberg Square,Sat 13 May 10:00am,"Ethnic, Multicultural"
Speedcubing Competition - Auckland Autumn 2023,Mt Smart Stadium,Sat 13 May 8:00am,"Games, Carnivals"
Jane Doe,The Occidental Belgian Beer Café,Sat 13 May 10:00pm,"Covers, Tribute Bands"
Blockhouse Bay Community Market,Blockhouse Bay Community Centre,Sat 13 May 8:00am,Markets and Fairs
Free Bubble Soccer in the Park - Ngati Otara Park,Ngati Otara Park,Sat 13 May 2:30pm,"Games, Carnivals"
Te Atatu Peninsula Artisan & Handmade Market,Te Atatu Peninsula Community Centre,Sat 13 May 10:00am,Markets and Fairs
Repair Café K-rd,Une-Deux Cafe,Sat 13 May 11:00am,"Conservation, Environment"
Mt Eden Craft Market,Mt Eden Village Centre,Sat 13 May 9:30am,Markets and Fairs
The Pirates of Penzance,Centrestage Theatre,Sat 13 May 7:00pm,Theatre
Soap Making | Workshop,UXBRIDGE Arts & Culture Centre,Sat 13 May 9:00am,Family & Lifestyle
Resin Jewellery Making | Workshop,UXBRIDGE Arts & Culture Centre,Sat 13 May 12:30pm,Family & Lifestyle
May Saturday Gallery Club: Weaving Textile Treasures,"The Homestead Galleries, Corban Estate Arts C",Sat 13 May 10:30am,Family & Lifestyle
New Zealand Podcasting Summit,AUT - Sir Paul Reeves Building - WG Building,Sat 13 May 9:00am,Education
Diploma of Advanced Clinical Hypnotherapy,Integrative Hypnotherapy Institue,Sat 13 May 10:00am,Mind & Body
Saturday Morning Painting Essentials - Art Course,UXBRIDGE Arts & Culture Centre,Sat 13 May 10:30am,Mind & Body
Mother's Day High Tea Buffet,Pullman Auckland Hotel,Sun 14 May 11:00am,"Food, Gourmet, Wine"
Mothers Day in the Vines - The Funkadelics,Turanga Creek Organic Vineyard,Sun 14 May 2:30pm,"Covers, Tribute Bands"
Mother's Day,LaValla Estate,Sun 14 May 12:00pm,"Food, Gourmet, Wine"
Mother's Day Dinner and Elvis Show with Mike Cole,Hibiscus Coast RSA,Sun 14 May 4:00pm,"Covers, Tribute Bands"
Covert Juniors,Covert Theatre,Sun 14 May 4:00pm,Theatre
Jester,Covert Theatre,Sun 14 May 6:00pm,Theatre
Mother's Day High Tea,Bracu Restaurant,Sun 14 May 11:00am,"Food, Gourmet, Wine"
Florist Workshop with Goldie Flowers and The Village,The Village NZ,Sun 14 May 3:00pm,Family & Lifestyle
Mother's Day at Sculptureum,Rothko at Sculptureum,Sun 14 May 8:30am,"Food, Gourmet, Wine"
Ruff Copy,Huapai Tavern,Sun 14 May 3:00pm,Rock
A Mother as Lovely As You,St Matthew-in-the-City,Sun 14 May 2:30pm,"Choir, Vocal Music"
Mother's Day - Live Day!,Howick Historical Village,Sun 14 May 10:00am,Family Entertainment
Mothers Day Lunch,Ora Bistro Restaurant,Sun 14 May 12:00pm,"Food, Gourmet, Wine"
Mother's Day Sailing,New Zealand Maritime Museum,Sun 14 May 11:30am,Sailing
WhyWomenRun Women's Event,Auckland Domain,Sun 14 May 9:00am,Fun Runs & Walks
Best Comedy Show on Earth,SkyCity Theatre,Sun 14 May 7:00pm,Comedy
Mother's Day Lunch & Dinner,Beast & Butterflies,Sun 14 May 12:00pm,"Food, Gourmet, Wine"
Mother's Day MusicaliTea,Hilton Auckland Hotel,Sun 14 May 10:30am,Classical Music
Pottery Vase making Mothers Day special,Half Pint Pottery,Sun 14 May 1:00pm,Family & Lifestyle
Mother’s Day Bottomless Brunch,"Lilyworld Cafe, Mt Smart Stadium",Sun 14 May 11:00am,Family & Lifestyle
Exclusive Mothers Day Wine Blending Session,Matakana Estate Winery,Sun 14 May 11:00am,Education
Auckland Film Society – Girls/Museum,Academy Cinemas,Mon 15 May 6:15pm,Film
Vector Lights for Yellow Ribbon National Road Safety Week,Auckland Harbour Bridge,Mon 15 May 6:00pm,"Charity, Fundraisers"
2022's Music Photography Award | Whakaahua Puoro Toa,Queens Wharf,Mon 15 May 12:00am,Festivals
Danny O'Brien (Ireland) in 'The God Of All Things Bad',The Classic Comedy Club,Tue 16 May 8:30pm,Comedy
Brendon Green (NZ) in 'I'm Happy You're Here',The Classic Comedy Club - Studio,Tue 16 May 8:45pm,Comedy
Max Crook Anathema,Pt Chevalier RSA,Tue 16 May 7:30pm,Jazz
"Auckland, Paint Your Pet with Paintvine!",Dr Rudi's,Tue 16 May 7:00pm,"Food, Gourmet, Wine"
Donna Brookbanks Not Where I Thought I'd Be | Auckland,Basement Theatre,Tue 16 May 6:30pm,Comedy
Lana Walters - Big Mum Energy - NZICF,Q Theatre,Tue 16 May 8:15pm,Comedy
Ray Shipley - Fifty Shades of Ray,Q Theatre,Tue 16 May 6:45pm,Comedy
Book-A-Family History Librarian,Manukau Library,Tue 16 May 12:00pm,Education
Comedians vs Drag Queens,Phoenix Cabaret,Wed 17 May 7:00pm,Comedy
The Improv Bandits,Covert Theatre,Wed 17 May 7:00pm,Theatre
"Creative Jazz Club ""Speak No Evil"" Remembering Wayne Shorter",Anthology Lounge,Wed 17 May 8:00pm,Jazz
Epic Comedy Battle,Covert Theatre,Wed 17 May 10:00pm,Theatre
Instant Broadway,Covert Theatre,Wed 17 May 8:30pm,Theatre
Greys Avenue Chinese Restaurants with André Taber,Whare Wānanga,Wed 17 May 12:00pm,Public Talks & Tours
Speed Dating Over 45 Years Young - Mix & Mingle,De Post,Wed 17 May 7:00pm,"Socials, Singles, Balls"
Auckland Sip and Sculpt Night - Sculpt Flowers,Good George,Wed 17 May 7:00pm,"Food, Gourmet, Wine"
Josiah & Steven: Joyous Comedy Hour for Your Smile,Q Theatre,Wed 17 May 9:30pm,Comedy
Parenting Through Challenging Times - Helensville Primary,Helensville Primary School,Wed 17 May 6:00pm,Family & Lifestyle
"Jacqui Hooper, Henry Yan and Zach Hall in 'Pick 'n Mix'",The Classic Comedy Club - Studio,Thu 18 May 10:00pm,Comedy
Beats By Bingo - Onehunga,Brothers Beer,Thu 18 May 7:30pm,Bar DJs
A Good Person,Hawkins Theatre,Thu 18 May 7:30pm,Film
Understanding Your Brain - AUCKLAND,Selwyn College,Thu 18 May 7:30pm,Public Talks & Tours
Get Your Shit Sorted (Season 2),The Royal New Zealand Yacht Squadron,Thu 18 May 3:30pm,Business & Professional
Beats By Bingo,Commercial Bay,Thu 18 May 5:30pm,Bar DJs
APO | The NZ Herald Premier Series: Dragspil,Auckland Town Hall - Great Hall,Thu 18 May 7:30pm,Classical Music
Guy Williams | Auckland,Q Theatre,Thu 18 May 7:00pm,Comedy
The Hutchwilco New Zealand Boat Show,Auckland Showgrounds,Thu 18 May 10:00am,"Lifestyle Shows, Expos"
Retail:Tech 2023 - Imagine the Future,SKYCITY Auckland Main Plaza,Thu 18 May 9:00am,Business & Professional
Oil Pastel Workshop - Still Life Flowers,Brothers Beer & Juke Joint BBQ,Thu 18 May 7:00pm,Education
The Frank Talbot Saxtet in Concert,Mt Eden Village Centre,Fri 19 May 8:00pm,Jazz
Bliss,Parāoa Brewing Co.,Fri 19 May 8:30pm,"Alternative, Indie"
Paint & Chill - Van Gogh Wheatfileds!,Auckland City Hotel,Fri 19 May 6:00pm,"Socials, Singles, Balls"
Mel Parsons - Tiny Days Tour,Galatos,Fri 19 May 8:00pm,Singer-Songwriter
Property Masterclass,Ellerslie Event Centre,Fri 19 May 9:00am,Education
A Night at the Disco,Remuera Club,Fri 19 May 6:30pm,Bar DJs
Yalumba The Professionals Great Long Wine Lunch,Park Hyatt Auckland,Fri 19 May 12:30pm,"Food, Gourmet, Wine"
Cups Night - May Carnival of Racing at Alexandra Park,Alexandra Park Raceway,Fri 19 May 5:30pm,Horse Racing
The Great Comedy Debate,SkyCity Theatre,Fri 19 May 7:30pm,Comedy
Ms Melville Presents Gig Series,Ellen Melville Centre,Fri 19 May 4:30pm,Variety Concerts
Nazeem Hussain | Auckland,Q Theatre,Fri 19 May 7:00pm,Comedy
Fridays Music Concerts - Support Local Schools,UXBRIDGE Arts & Culture Centre,Fri 19 May 11:55am,Jazz
Switch It Up 2023,Sir Woolf Fisher Arena Due Drop Events Centre,Sat 20 May 1:00pm,"Hip Hop, Rap"
DJ Sir-Vere presents Major Flavours with Savage + more,Sweat Shop Brew Kitchen,Sat 20 May 9:00pm,"Hip Hop, Rap"
Yeh Jo Mohabbat Hai - Hits of Rajesh Khanna,SkyCity Theatre,Sat 20 May 7:00pm,World
Homo House Feat. Guy Scheiman,Neck of the Woods,Sat 20 May 10:00pm,Electronica
